,test_dataset,train_time,accuracy,precision,recall,f1
96,ECG200,865.4357106685638,0.8597919493441881,0.8597919493441881,0.8597919493441881,0.8597919493441881
97,SwedishLeaf,865.4357106685638,0.7928888888888889,0.803914594600286,0.7928888888888889,0.7889362175173836
98,SemgHandGenderCh2,865.4357106685638,0.7955555555555556,0.8175455190146182,0.7955555555555556,0.7823044981255891
99,MiddlePhalanxTW,865.4357106685638,0.6184390912651782,0.833778594395013,0.6184390912651782,0.5207192559545234
100,FreezerRegularTrain,865.4357106685638,0.8986666666666667,0.9012577383126229,0.8986666666666667,0.8985018960943384
101,UWaveGestureLibraryY,865.4357106685638,0.6056292187491583,0.6034219497958925,0.6056292187491583,0.59213515387725
102,MiddlePhalanxOutlineAgeGroup,865.4357106685638,0.7436153544849198,0.8341585216506272,0.7436153544849198,0.7020446565753075
103,GesturePebbleZ2,865.4357106685638,0.1941370607649,0.4640975952786793,0.1941370607649,0.10233274851556638
104,Herring,865.4357106685638,0.6015134736064969,0.7603246755104903,0.6015134736064969,0.45185526937032305
105,MixedShapesRegularTrain,865.4357106685638,0.8393162393162393,0.8469499552836361,0.8393162393162393,0.8409425116790358
106,ArrowHead,865.4357106685638,0.644802146210597,0.652669115395592,0.644802146210597,0.631831741486959
107,ToeSegmentation1,865.4357106685638,0.8659176029962548,0.8722564284398574,0.8659176029962548,0.8648073571693154
108,WordSynonyms,865.4357106685638,0.37240104728168794,0.6622873447774024,0.37240104728168794,0.2543515022033919
109,PigAirwayPressure,865.4357106685638,0.23717948717948714,0.5516044019333494,0.23717948717948714,0.20740500596269826
110,MelbournePedestrian,865.4357106685638,,,,
111,GestureMidAirD3,865.4357106685638,0.04142962494732406,0.7476981731649817,0.04142962494732406,0.02082016674620973
112,OliveOil,865.4357106685638,0.4166666666666667,0.7575,0.4166666666666667,0.24548440065681446
113,FordB,865.4357106685638,0.8553756185335133,0.8571482002429929,0.8553756185335133,0.8551256146634052
114,CinCECGTorso,865.4357106685638,0.7295682762270927,0.7492058893594846,0.7295682762270927,0.7341090942022924
115,DodgerLoopGame,865.4357106685638,,,,
116,MixedShapesSmallTrain,865.4357106685638,0.8304995466882824,0.8384878497675502,0.8304995466882824,0.8320032550737696
117,SonyAIBORobotSurface2,865.4357106685638,0.9591846306823513,0.9606288574422163,0.9591846306823513,0.959321691064477
118,FreezerSmallTrain,865.4357106685638,0.895064665160468,0.8978614717421664,0.895064665160468,0.8948833285717149
119,Earthquakes,865.4357106685638,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
120,Rock,865.4357106685638,0.5857487922705314,0.591103944364814,0.5857487922705314,0.5045721478072737
121,DodgerLoopWeekend,865.4357106685638,,,,
122,GunPointMaleVersusFemale,865.4357106685638,0.753774834437086,0.836071020048506,0.753774834437086,0.7361904909076326
123,MiddlePhalanxOutlineCorrect,865.4357106685638,0.6240179573512906,0.6474412772059196,0.6240179573512906,0.5108094539576066
124,InlineSkate,865.4357106685638,0.27692438982761564,0.3744631929627141,0.27692438982761564,0.24442784156272465
125,Crop,865.4357106685638,0.562375,0.5671634395805719,0.562375,0.5492181351347388
126,Lightning7,865.4357106685638,0.5035460992907801,0.6488721028282198,0.5035460992907801,0.4076345097205016
127,FacesUCR,865.4357106685638,0.8453333333333334,0.8522233627847481,0.8453333333333334,0.8456005001728628
